index,city,date,tempType,temp
1,ITE00100554,18000101,TMAX,-75
2,ITE00100554,18000101,TMIN,-148
3,GM000010962,18000101,PRCP,0
4,EZE00100082,18000101,TMAX,-86
5,EZE00100082,18000101,TMIN,-135
6,ITE00100554,18000102,TMAX,-60
7,ITE00100554,18000102,TMIN,-125
8,GM000010962,18000102,PRCP,0
9,EZE00100082,18000102,TMAX,-130
10,EZE00100082,18000102,TMIN,-130
11,ITE00100554,18000103,TMAX,-23
12,ITE00100554,18000103,TMIN,-46
13,GM000010962,18000103,PRCP,4
14,EZE00100082,18000103,TMAX,-10
15,EZE00100082,18000103,TMIN,-73
16,ITE00100554,18000104,TMAX,0
17,ITE00100554,18000104,TMIN,-13
18,GM000010962,18000104,PRCP,0
19,EZE00100082,18000104,TMAX,-55
20,EZE00100082,18000104,TMIN,-74
21,ITE00100554,18000105,TMAX,10
22,ITE00100554,18000105,TMIN,-6
23,GM000010962,18000105,PRCP,0
24,EZE00100082,18000105,TMAX,-40
25,EZE00100082,18000105,TMIN,-58
26,ITE00100554,18000106,TMAX,13
27,ITE00100554,18000106,TMIN,13
28,GM000010962,18000106,PRCP,0
29,EZE00100082,18000106,TMAX,-39
30,EZE00100082,18000106,TMIN,-57
31,ITE00100554,18000107,TMAX,31
32,ITE00100554,18000107,TMIN,10
33,GM000010962,18000107,PRCP,0
34,EZE00100082,18000107,TMAX,-30
35,EZE00100082,18000107,TMIN,-50
36,ITE00100554,18000108,TMAX,29
37,ITE00100554,18000108,TMIN,14
38,GM000010962,18000108,PRCP,0
39,EZE00100082,18000108,TMAX,-1
40,EZE00100082,18000108,TMIN,-31
41,ITE00100554,18000109,TMAX,35
42,ITE00100554,18000109,TMIN,23
43,GM000010962,18000109,PRCP,0
44,EZE00100082,18000109,TMAX,5
45,EZE00100082,18000109,TMIN,-46
46,ITE00100554,18000110,TMAX,46
47,ITE00100554,18000110,TMAX,31
48,GM000010962,18000110,PRCP,0
49,EZE00100082,18000110,TMAX,-46
